,slug,description
811,timewreck,"Breeder Coastal Genetics created Snoop’s Dream by crossing Blue Dream and Master Kush, two strains reported to be the favorites of rapper and cannabis icon Snoop Dogg. It has a fruity, woodsy flavor profile, while THC levels tend to range between 18% and 22%. Snoop’s Dream is said to be a well-balanced hybrid that is relatively easy to grow either indoors or outdoors. This strain reportedly reaches a medium height and flowers quickly, in about six weeks, and while yields are relatively small, the shorter flowering cycle allows growers to harvest more often."
812,snoop-s-dream,"Swiss Tsunami is a rare strain with mysterious origins, thought to be a cross of Swiss Gold, itself an unknown hybrid, and Sour Tsunami, related to Sour Diesel and Cannatonic’s high-CBD AC/DC. Online sources suggest this strain gives off a pungent herbal aroma and bright, fruity taste. Based on its relation to AC/DC, Swiss Tsunami contains high levels of CBD per dry weight. Due to Swiss Tsunami’s rarity and the fact that seeds and clones are unavailable online, growing information is virtually non-existent. Sources online say Swiss Tsunami produces small popcorn-shaped nugs with dark green and purple coloring, orange pistils, and a white coat of trichomes."
813,swiss-tsunami,"TGA Seeds created Space Bomb in the mid-2000s as a combination of Tiny Bomb and Space Queen. The top reported aromas of the Space Bomb strain are tropical fruit and sweet candy. It is said to taste like florals, earth, and tropical fruit and berries. Space Bomb is the winner of the following awards: Top 10 Strains at the 2009 High Times Cannabis Cup Space Bomb is an unfussy hybrid cultivar that develops medium-sized plants with sturdy branching and full leaves. The strain loves dry climates with plenty of sunlight, though its pungent odor may require some masking to stay discreet. Space Bomb flowers in eight to nine weeks indoors and mid-October outdoors. In ideal conditions, the strain produces up to 17 ounces per plant. Space Bomb is available as seeds and clones."
814,space-bomb,"Caramelo by Spain-based Delicious Seeds is a combination of two Lavender phenotypes: one with more indica traits and the other leaning towards sativa characteristics. Caramelo’s genetics history includes landraces from Hawaii, Afghanistan, and Colombia. The top reported aromas of the Caramelo strain are florals, fruit, and sweet berries. It reportedly tastes like lavender, sugar, and mild spices. Caramelo is an easy-going sativa hybrid, developing taller plants with thin fan leaves. The strain is resistant to most pests and molds, making it an excellent choice for novice growers. Caramelo prefers slightly more humid settings and reaches full maturity in nine weeks indoors and late October outdoors. In ideal conditions, Caramelo produces up to 18 ounces of flower per plant. Caramelo is available as seeds and clones."
815,caramelo,"Alphakronik Genes created Tillamook Strawberry as a combination of Bruce Banner with Gobstopper. Its name comes from the Tillamook region in Oregon, where it was created. The top reported aromas of the Tillamook Strawberry strain are sweet berries, earth, and diesel. Its flavors are a similar bouquet of gas, damp earth, and strawberries. Tillamook Strawberry is a sativa-leaning cultivar that produces long, fluffy buds colored blue, green, and orange. It grows in indoor and outdoor gardens and requires little maintenance, making it an excellent choice for novice gardeners. Tillamook Strawberry flowers in eight to nine weeks indoors and in early October outdoors. In ideal conditions, Tillamook Strawberry yields above-average crops. Tillamook Strawberry is available as seeds and clones."
816,tillamook-strawberry,"Super Sour OG is a three-way cross of Blueberry, Sour Diesel, and OG Kush, first created by the breeders at Northern California’s Emerald Triangle Seeds. Later, the team crossed a female Super Sour OG with a male Lost Coast OG to enhance the cultivar’s terpene profile of citrus mixed with diesel. Super Sour OG flowers in 8-10 weeks indoors or mid-October when grown outdoors in the Northern Hemisphere. The plants grow short with fewer fan leaves and compact, tight internodal spacing. To produce maximum yields, online sources recommend the Sea of Green (SOG) growing technique, regular pruning, and consistent checks for mold or mildew."
817,super-sour-og,"White Cookies was bred by Canadian seed bank Crop King Seeds by crossing White Widow with GSC (also known as Girl Scout Cookies). The seed bank lists the strain at 19.25% THC and 0.75% CBD. According to Crop King Seeds, the strain has a slightly indica-leaning lineage and Dutch origins. It reportedly grows tall with physical traits of both its mother and father, and produces high yields ranging from 200 to 400 grams, or 7 to 14 ounces, over a 63-day flowering period. Moderately easy to grow either indoors or outdoors, White Cookies delivers relaxed, euphoric, and body-centric effects, according to Crop King Seeds. According to the seed bank, this strain is also used medically to boost moods and treat pain, loss of appetite, and nausea. According to Crop King Seeds, the strain has a slightly indica-leaning lineage and Dutch origins. It reportedly grows tall with physical traits of both its mother and father, and produces high yields ranging from 200 to 400 grams, or 7 to 14 ounces, over a 63-day flowering period. Moderately easy to grow either indoors or outdoors, White Cookies delivers relaxed, euphoric, and body-centric effects, according to Crop King Seeds. According to the seed bank, this strain is also used medically to boost moods and treat pain, loss of appetite, and nausea."
818,white-cookies,"The Bank Cannabis Genetics created Mammoth as a combination of Snowcap and LA Confidential. The top reported aromas of the Mammoth strain are earth, wood, and honey. It is said to taste like citrus, dirt, and honeyed wood. Mammoth is a sturdy hybrid cultivar with a resistance to diseases and environmental hardships that make it an ideal introductory choice for new cultivators. Mammoth may require regular trimming in indoor settings to manage its dense foliage and allow for better airflow and light distribution. The strain flowers in eight to ten weeks indoors and by late October outdoors. In ideal conditions, Mammoth produces yields of up to 46 ounces of bud per plant. Mammoth is available as seeds and clones."
819,mammoth,"Going way back to the ’90s, when grunge was the music and Bubba Kush was the weed of choice, an unknown breeder mixed up some old-school strains, perhaps OG Kush, West Coast Dawg, and Old World Kush, to create Pre-98 Bubba Kush. According to several online seed banks, Pre-98 Bubba Kush is indica-leaning and has an earthy, coffee flavor profile. A few breeders have their own purported versions of ll Pre-98 Bubba Kush, but they are just backcrosses of the classic Bubba Kush. The mostly indica cultivar flowers in eight weeks from short, bushy plants that deliver an average harvest, according to Alchimia seed bank. Pre-98 Bubba Kush grows well indoors or outdoors, producing short, bushy plants and yielding an average harvest of trichome-encrusted buds that take on purple colors if exposed to colder temperatures during its eight-week flowering cycle."
820,pre-98-bubba-kush,"Chocolate OG is pure indica strain reportedly bred by THClones of San Francisco from Chocolate Rain and True OG. However, some say Oakland-based, California’s Purple Caper Seeds developed it from OG Kush, Fire OG, and True OG. The top reported aromas of the Chocolate OG strain are sweet, cheese, and chocolate. Chocolate OG is said to taste like sour earth and coffee. Chocolate OG is an indica strain that descends from OG Kush. Chocolate OG produces short plants with thick leaves thanks to its indica heritage. Chocolate OG has an average flowering time between 56 and 63 days. The Chocolate OG strain is best grown indoors. Chocolate OG is available as seeds."
821,chocolate-og,"Blackberry Cream’s story begins in Washington, where breeders at Exotic Genetix reportedly crossed a Blackberry Kush with one of its most prized varieties, Cookies & Cream, to create a new strain. According to online sources, Blackberry Cream grows tall and produces generous yields of dense, purple buds in a 49-to-56 day flowering period. The strain reportedly grows well both indoors and outdoors."
822,blackberry-cream,"Ken Estes, the breeder responsible for the legendary Grand Daddy Purple (GDP), is also the mind behind Pink Champagne, a sweet-tasting hybrid that is a direct descendant of his famous GDP and Cherry Pie, according to sources online. This rose-scented and trichome-laden strain is sometimes referred to as Phantom, Wow Kush, or Raspberry Kush. Pink Champagne sports small, bright-green buds with orange pistils and, occasionally, purple hues passed down from its GDP heritage. This strain doesn’t appear to be available in seed form, so growers would have to source clippings of a Pink Champagne plant and clone it. However, this strain is considered a rarity and there’s little information available on how to grow it."
823,pink-champagne,"Green House Seeds created Kaia Kush as a combination of Super Silver Haze and OG Kush. The top reported aromas of Kaia Kush are lemon, citrus, and spices. Its flavors are said to be herbal, tangy, and spiced lemon. Kaia Kush is the winner of the following awards: First prize for Best Strain at the 2007 High Times Cannabis Cup Kaia Kush is an easy-going hybrid capable of thriving in indoor and outdoor climates. Inside grows benefit from the ScrOG training method, designed to produce high yields. Kaia Kush flowers in nine to ten weeks indoors and by late-October in outdoor gardens. In ideal conditions, Kaia Kush is a heavy yielder that can produce up to 28 ounces per plant. Kaia Kush is available as seeds and clones."
824,kaia-kush,"Black Domina is a four-way cross of an Afghani Indica, Canadian Ortega, Northern Lights, and a Hash plant created by Dutch-based Sensi Seeds. It features a fruity, peppery flavor profile along with 12-24% THC, according to nursery Life Cycle Botanics. Black Domina reaches medium heights and flowers in seven weeks, producing very large yields. It does best indoors but can thrive outdoors in warm climates and by employing Sea of Green (SOG). Northern hemisphere growers can harvest in late September to early October. This cultivar develops a large central cola and dark-green, long, slender leaves. Buds are pale green with plenty of orange pistils and a heavy layer of resinous trichomes."
825,black-domina,"TH Seeds created Cold Creek Kush as a combination of MK Ultra and Chemdawg 91. The top reported aromas of the Cold Creek Kush strain are pungent earth, spices, and wood. It is said to taste of herbs, pine, and wet soil. Cold Creek Kush is a sativa-characteristic plant that grows tall with thick branches that droop with heavy, resinous buds. The strain flowers in 63 to 70 days indoors and by late October outdoors. At full maturity, Cold Creek Kush produces an above-average harvest of about 21 ounces per plant. Cold Creek Kush is unavailable as seeds or clones."
826,cold-creek-kush,"Northern Lights is one of the most famous and sought-after “Indica” strains of all time. Considered a descendant of Afghani and Thai landrace strains, the exact origin of Northern Lights remains a bit of a mystery. It may have originated in Washington in the 1970s, prior to reaching the Netherlands, where breeder Neville Schoenmaker pioneered several Northern Lights phenotypes in the ’80s for The Seed Bank, an early iteration of Sensi Seeds. Since 1985, when Sensi Seeds first commercialized this strain, Northern Lights has been a landmark Indica strain in cannabis culture. Northern Lights #5 — arguably the most popular Northern Lights phenotype — won the Cannabis Cup in 1989, 1990, and 1992. Sensi Seeds currently offers feminized, non-feminized, and autoflowering Northern Lights seeds. Northern Lights is relatively easy to grow both indoors and outdoors. It grows to a relatively average height with dense, resinous flowers and dark green leaves, with a flowering time of 45-50 days. When growing outdoors, a sunny, pleasantly warm climate will produce the highest yields from this strain. Northern Lights is frequently reported to exhibit effects such as full-body relaxation and sedative euphoria. Northern Lights is also known for its sweet-and-spicy scent and its skunky, earthy flavor."
827,northern-lights,"Dakini Kush is a cross of Pre-98 Bubba Kush and Hindu Kush. It was bred originally by Centennial Seeds. The top reported aromas of the Dakini Kush strain are caramel, herbs, and earth. And it is said to taste like sugar, berries, and hops. Dakini Kush is an indica-dominant strain that’s a cross between Pre-98 Bubba Kush and Hindu Kush. Dakini Kush has an average flowering time between 63 and 70 days and is known to produce high yields in ideal conditions. The Dakini Kush strain is best grown indoors. Dakini Kush is available as seeds."
828,dakini-kush,"Berry Larry is a popular strain with various sources of origin. Below are two anecdotes about the strain's inception. Berry Larry by GDP The team at Grand Daddy Purple created Berry Larry, also known as Larry Berry, to mix OG genetics with signature GDP flavors. The plant leans indica and was developed to produce higher yields than its predecessors. Berry Larry by Taste Budz Colorado-based Taste Budz created another strain of the same name as a phenotype of Lemon Larry OG. This version of Berry Larry also leans heavily indica. Berry Larry’s aromas combine earthy pine smells with a grape and citrus sweetness. Reported flavors include a palate of berry fruits, licorice, and earthy OG dankness. Berry Larry by GDP GDP’s version of Berry Larry combines Goji OG with Grandpa Larry, itself a hybrid of Grand Daddy Purple with Larry OG. The plants develop bushy, small structures with average internodal distancing and thin branches, in keeping with their indica heritage. Berry Larry flowers in about 70 days when grown indoors and late October in outdoor gardens. It is a good candidate for the Screen of Green method. Berry Larry by Taste Budz Taste Budz’s Berry Larry is a Lemon Larry phenotype. It flowers in 63 to 70 days and produces average yields. Berry Larry can be grown indoors or outdoors though outdoor gardens will produce higher yields on average. Berry Larry is available as seeds only."
829,berry-larry,"Jupiter OG, a member of the Celestial OG family, is a phenotype of OG Kush propagated by the team at The Cali Connection in the '90s. The strain was so-named for its hearty growth, massive yields, and equally powerful fuel-like pungency. Per the breeder, Jupiter OG produces a long-lasting physical high best saved for end-of-day use. Jupiter OG grows well in both indoor and outdoor settings, flowering in 65-70 days in the former and early October in the latter. A heavy yielder, Jupiter OG develops lateral bushy branches that may benefit from ScrOG (Screen of Green) or SOG (Sea of Green) method. Jupiter OG's buds emerge with an olive-green coloring and an overabundance of red pistils."
830,jupiter-og,"Bred by Alien Genetics, Alien Rock Candy is a cross between Sour Dubble and Tahoe Alien. The indica-dominant hybrid was produced by crossing a female Sour Dubble from B.O.G. seeds with one of the breeder’s Tahoe Alien male plants. The result is a reportedly fast-vegetating, sour, lemon-lime, candy-flavored bud. The strain is easy to grow both indoors and outdoors, and produces medium-heavy yields in a 56-day flowering cycle."
831,alien-rock-candy,"Boysenberry is a balanced hybrid of unknown origins, though some suggest it’s a cross between Goji OG and Afghani. The top reported aromas of the Boysenberry strain are berry, citrus, and earth, and it is said to taste like sweet berries and citrus. Boysenberry is a balanced hybrid thought to be a cross between Goji OG and Afghani. Boysenberry has an average flowering time of 63-70 days and is known to produce high yields in ideal conditions. The Boysenberry strain is best grown indoors. Boysenberry is not available as seeds or clones."
832,boysenberry,"Las Vegas-based Sin City Seeds created Aliens On Moonshine by crossing Sour Alien with White Moonshine. The top reported aromas of the Aliens On Moonshine strain are citrus, musk, and pine. It is said to taste of chemicals, citrus, and herbs. Aliens On Moonshine produces indica-characteristic plants with short, bushy structures and lateral branching. Growers can tease out the cultivar's purple coloring by exposing plants to cooler temperatures in the evening close to flowering. The strain thrives both indoors and outdoors, reaching full maturity in 56 to 63 days or early October, respectively. Aliens On Moonshine is available as clones only."
833,aliens-on-moonshine,"Fluffhead, created by The Bank Genetics, is a heavy-yielding cultivar descended from a Headband mother and Phishhead Kush father. The buds reek of diesel and earthy Kush, which give away their Afghan heritage. Online consumers report Fluffhead contains higher percentages of THC with strong physical effects. Fluffhead develops into taller plants with long internodal spacing between buds. Flowering in 55 to 65 days, Fluffhead produces large yields of long, fluffy flowers covered in resin."
834,fluffhead,"Pink Berry is a combination of Pink Champagne and Blackberry first bred by the team at Apothecary Genetics. Consumers report Pink Berry features whiffs of berries, grapes, and dank exotic fruit. Its smoke is smooth and creamy, with notes of buttery fruit and sugar. Pink Berry is an easy-to-grow indica hybrid that develops into small, bushy plants. The strain succeeds in indoor and outdoor environments, preferring a semi-humid climate and plenty of sunshine. Pink Berry requires occasional trimming to prevent its wide fan-leaves from blocking light to its lower nodes. The cultivar flowers in six to seven weeks indoors or late September outside. Pink Berry is available as seeds and clones."
835,pink-berry,"Green House Seeds created The Doctor as a three-way combination of Great White Shark, South Indian, and Super Skunk. The top reported aromas of The Doctor strain are skunk, sweet earth, and grapes. It is said to taste of lime, wood, and sweet fruit. The Doctor is a fast-flowering indica hybrid that produces short, bushy plants. The strain prefers cooler temperatures and is capable of withstanding harsh environmental conditions. The Doctor flowers in 56 days indoors and in late September in outdoor gardens. In ideal conditions, The Doctor produces massive yields of up to 42 ounces of bud per plant. The Doctor is available as seeds only. Clones may be available directly from cultivators growing this strain."
836,the-doctor,"CBD OG is a cross of two award-winning strains, Lion’s Tabernacle and SFV OG IBL, created by The Cali Connection. The version for feminized seeds is Lion’s Tabernacle crossed with Tahoe OG S1. The top reported aromas and flavors of CBD OG are wood, spices, and citrus. The Cali Connection’s CBD OG is the winner of the following awards: 2015 1st place High CBD Flower, High Times Cannabis Cup San Francisco CBD OG by Cali Connection is an indica-dominant cross between Lion’s Tabernacle and SFV OG IBL. It produces short, bushy plants thanks to its indica heritage. CBD OG has an average flowering time between 60 and 68 days indoors and mid-October outdoors. It is known to produce high yields in ideal conditions, especially outdoors. CBD OG grows well indoors and outdoors though it prefers a sunny, Mediterranean-type climate. Odor masking may be needed indoors or if discretion is an issue. CBD OG is available as seeds and clones."
837,cbd-og,"Tina Danza is a lovely lady created by the team at Swamp Boys Seeds, who crossed two of their proprietary cultivars, Georgia Pine and Triangle Kush, to produce a lovable flavor. Tina Danza reportedly smells like a bouquet of berry and tangy citrus blended with tropical delicacies. Its smoke features a pungent hit that may induce coughing before an exhale layered with fruit and ammonia flavors. Swamp Boys Seeds offers little growing information regarding Tina Danza's cultivation. The balanced hybrid reportedly flowers in 56 to 63 days indoors, reaching tall heights and requiring regular topping to allow for light penetration. Tina Danza is unavailable as seeds or clones."
838,tina-danza,"Corleone Kush is a California gem originally bred by The Cali Connection. The strain combines the best elements Pre-98 Bubba Kush and SFV OG Kush, successfully marrying their potency and strong fragrance. Corleone Kush reeks of earthen, spiced citrus with a signature kush kick. As Corleone Kush pushes the limits of THC potency, this strain may be best reserved for seasoned consumers looking for an evening toke. Corleone Kush is highly resilient to pests, diseases, and mold/mildew, making it a good choice for novice cultivators. It grows well in both indoor and outdoor conditions and flowers in 7-8 weeks with average-sized yields."
839,corleone-kush,"OG Cheese, also named OG Easy Skunk, was first created by the breeders GreenLabel Seeds. It is a revitalized version of the original, UK-born Cheese strain, thought to be a combination of GO Skunk #1 and an Afghani landrace. The top reported aromas of OG Cheese are cheesy, skunky pine and a slight creaminess. And it is said to taste like cheese and cream with mild skunk notes. OG Cheese is an indica-leaning hybrid cultivar, growing to shorter heights of two-to-three feet with dense lateral branches. The strain prefers warmer, dryer climates and requires regular pruning to protect it from too much humidity and lack of light in the lower branches. Indoors, OG Cheese flowers in seven to nine weeks, while outdoor gardens flower in mid-to-late October. Healthy yields produce up to 20 ounces of huge, dense buds per plant. OG Cheese is available as seeds and clones."
840,og-cheese,"Created by Dying Breed Seeds, Blue Zkittlez is an indica-leaning cross between Blue Diamond with Zkittlez, forming what is reported to be a potently aromatic plant with a floral, tart flavor profile with sweet undertones. The purported scent of Blue Zkittlez is so powerful, growers may need to implement masking or odor-control measures when cultivating this strain. One sample of Blue Zkittlez, analyzed by the cannabis testing lab Confident Cannabis, demonstrated high THC levels that exceeded 22%, along with a terpene profile dominant in myrcene, pinene, and limonene. Although Blue Zkittlez is not available in the feminized seed form and is likely clone-only, Dying Breed Seeds does sell seeds for a strain called Blue Dogstar, which is a cross between Blue Zkittlez and Diesel Dog. Despite its limited availability, sources claim that Blue Zkittlez is moderately tough to grow, flowering small, dark green buds in a six-to-seven-week flowering cycle."
841,blue-zkittlez,"Ortega first appeared on the cannabis scene in the 1980s, created by breeder Mr. Nice Seed as a combination of Northern Lights #1 and Northern Lights #5. Consumers report Ortega produces a spiced, berry flavor layered with subtle hash notes. Its smell is similarly spicy, with pepper mixed with nutmeg, cinnamon, and berries. Ortega is an indica-leaning hybrid, developing short plants with a faster flowering time of six to eight weeks. Some skill is required to produce ideal yields from Ortega, which requires regular topping and proper nutrition and attention to thrive. In outdoor gardens, Ortega can produce yields of up to 26 ounces per plant when properly nurtured. Ortega is available as seeds and clones."
842,ortega,"Rare as a diamond, this strain is hard to find but reportedly worth the search. Black Diamond, a cross between Blackberry and Diamond OG, has trichome-covered buds with a purple tint and grape smell packing up to 26% THC and nearly 4% CBD, according to seed bank Bonza Seeds. It tastes earthy and sweet with a slight skunky odor, as expected given its lineage. Effects are uplifting then relaxing, even tending toward drowsy, according to Bonza. Black Diamond is a nearly balanced hybrid with a slight lean toward indica, Bonza says. It grows well either indoors or outdoors, if you can find a seed or clone and have experience as a grower – this one isn’t for the novice. This cultivar likes soil, as opposed to hydroponic media, and warmer climates where it will flower in October outdoors in the Northern Hemisphere or between eight and nine weeks indoors. When grown inside, the Sea of Green (SoG) growing method keeps the short, bushy beauty happy and producing."
843,black-diamond,"Green Crack is said to be a cross between a 1989 Super Sativa Seed Club, a Skunk #1, and an Afghani landrace. The strain was reportedly named Cush by its original breeder, Cecil C., then renamed Green Crack by Snoop Dogg to refer to what the rapper and cannabis activist perceived as potent, sativa-like effects. The strain won 3rd place for Best Sativa at the Denver High Times Cannabis Cup in 2015. Online sources say the strain grows short, vegetates quickly, and flourishes both indoors and outdoors. Its resinous buds are reportedly small and densely clustered, and the plant flowers in 49 to 56 days."
844,green-crack,"Unknown breeders created 818 OG as a phenotype of OG Kush. Its name refers to the area code of its birthplace, California’s San Fernando Valley. The top reported aromas of the 818 OG strain are pine, lemon, and diesel. It is said to taste of sweet citrus and pine. 818 OG is an indica-dominant hybrid that produces short, squatty plants with dense, bushy foliage. Growers may need to regularly prune 818 OG to encourage proper airflow and light penetration to lower branches. The strain grows in indoor and outdoor environments, preferring warmer temperatures and slightly drier air conditions. 818 OG flowers in 49 to 63 days indoors and early October outside. 818 OG is available as seeds only. Clones may be available directly from cultivators growing this strain."
845,818-og,"Tina by Exotic Genetix is a combination of Constantine with Triple OG. The current iteration of Tina on the market is the strain’s second phenotype. The top reported aromas of the Tina strain are skunk, jet fuel, and spices. It is said to taste of diesel and herbs. Tina is the winner of the following awards: First Place for Best Indica Flower at the 2017 High Times SoCal Harvest Cup Tina’s cultivation requirements are a mystery, though it is said to be a sativa-characteristic plant that grows tall with long, purple fan leaves. The strain may require structural support for its narrow branches and massive, dense buds. Tina flowers in 56 to 63 days indoors, producing heavy yields in ideal conditions. Tina is unavailable as seeds or clones."
846,tina,"Butter OG is a cultivar of mysterious origins thought by online sources to be a specific OG Kush phenotype. The top reported aromas of the Butter OG strain are cream, tropical fruit, and wood. It is said to taste of buttery popcorn, fruit, and wood. Butter OG develops squatty, short, indica-characteristic plants with dense foliage and compact nugs. The strain is resistant to most pests and environmental hardships. However, prospective growers should closely monitor its humidity levels to fend off molds. Butter OG flowers in 47 to 63 days indoors and late September outside. Butter OG is unavailable as seeds or clones."
847,butter-og,"Lucid Blue is a cross of a Santa Cruz cut of Blue Dream (Santa Cruz cut) and a Grateful Breath phenotype dubbed Solomon first bred by Green Gage Genetics. This combination created a cultivar with a fruity, grassy flavor profile, according to sources online. Lucid Blue is easy to grow indoors or out, but online sources claim it grows best inside, in soil, with Sea of Green (SOG). Green Gage Genetics says it needs seven-to-eight weeks flowering time to deliver large, dense, trichome-covered buds. Colas are mostly light green with a few dark green leaves, bright orange pistils, and white trichomes. Growers should expect a medium-to-high yield."
848,lucid-blue,"Raspberry Parfait results from an accidental collaboration in 2017 between Humboldt Seed Company's Truffula Tree and Shishkaberry. The top reported aromas of the Raspberry Parfait strain are citrus, flowers, and musky pine. It is said to taste of tart berries, musk, and hops. Raspberry Parfait is a sativa-dominant hybrid, with vigorous growth, thin fan leaves, and stretching heights. It flowers relatively quickly, in about 60 days indoors and early October when raised outside. At full maturity, Raspberry Parfait produces beautiful purple buds with streaks of green, orange hairs, and white trichomes. Raspberry Parfait is available as seeds only."
849,raspberry-parfait,"With its Kush lineage, 501st OG (also called 501 OG) is a stout and hearty cultivar that offers Indica-heavy effects, according to Rare Dankness Genetics. A cross between Skywalker OG — itself a descendant of OG Kush — and Rare Dankness No. 1, the namesake plant of Colorado’s Rare Dankness Genetics. 501st OG has a flowering time between 50 and 65 days that results in sweet, purple flowers."
850,501st-og,"Purple Candy is a sweet treat with a somewhat confusing origin story. While most online sources claim BC Bud Depot created the cultivar as a cross of BC Sweet Tooth and Mendocino Purps, BC Bud Depot themselves denies this is true. The genuine breeders, reportedly, are the folks at Smoke A Lot Seeds, who combined Godzilla Grape with the offspring of Purple Wreck and OG Kush. Purple Candy boasts fragrances and flavors true to its name, with a sugary sweet taste and a terpene profile of earthy fruit. The purple in its name refers to the brilliant violet-hued buds produced by exposing Purple Candy to lower temperatures later in its growing cycle. Purple Candy thrives both indoors and outdoors, even in cooler temperatures, and may benefit from SOG method to improve yield quality. The cultivar flowers in eight-to-nine weeks or early October when grown outside."
851,purple-candy,"Agent Tangie is a sativa-dominant hybrid bred by crossing California Orange with Skunk. Agent Tangie, developed by 3C Farms, offers a flavor of sweet orange with an edge of sour and an effect described as “cerebral.” The flowers develop a distinct orange coloring."
852,agent-tangie,"Citrus Berry is the creation of breeders at Exotic Genetix, though they’ve since discontinued the strain. It’s a cross of Kimbo Kush and Orange Valley OG. The top reported aromas of Citrus Berry are sour cherries, berries, and citrus. And it is said to taste similar but leaning toward the sweet end of the spectrum. Citrus Berry is a slightly indica-dominant cross between Kimbo Kush and Orange Valley OG. It produces medium-sized plants thanks to its hybrid genetics. Citrus Berry has an average flowering time between 56 and 63 days. It is known to produce high yields in ideal conditions. Citrus Berry grows well indoors and outdoors. Citrus Berry is not available as seeds or clones."
853,citrus-berry,"Crater Lake, named for Oregon’s beautiful landmark, is a cross of Super Silver Haze F2 and an Oregon Huckleberry that’s been backcrossed several times. Dynasty Seeds in the Pacific Northwest created the highly resinous strain. Crater Lake reportedly smells herbal with hints of fuel and citrus. It’s said to taste like lemon, lime, and skunk. According to the breeder, Crater Lake is a balanced hybrid that’s a cross of Super Silver Haze and Oregon Huckleberry. It grows well indoors or out, and flowers in a relatively quick 56 to 63 days indoors or late-September to early October outdoors in the Northern Hemisphere. According to the breeder, Crater Lake has four phenotypes that vary in yield and trichome production. Most sources online point to at least average yields. Crater Lake is not available as seeds or clones."
854,crater-lake,"Master Bubba is the descendant of Master Kush and Bubba Kush, created by mysterious breeders. The top reported aromas of the Master Bubba strain are skunk, herbs, and spiced earth. Its flavors are earth, tropical fruit, and spices. Master Bubba is a hybrid cultivar that produces pine-tree-like plants with colorful, aromatic buds. The strain prefers warmer climates and favors plentiful sunshine. Master Bubba flowers indoors in eight to nine weeks, while outdoor crops reach full maturity in mid-October. In ideal conditions, Master Bubba produces up to 16 ounces of bud per plant. Master Bubba is available as seeds and clones."
855,master-bubba,"Crockett Family Farms created Sour Sunset as a combination of Sour Diesel and Secret Sherbet. The top reported aromas of the Sour Sunset strain are tropical fruits, citrus, and pungent spices. It is said to taste of tangy citrus and mangos. Sour Sunset is an indica-leaning hybrid that develops short, sturdy, dense plants due to its genetics. The strain thrives in indoor and outdoor settings when provided a temperate, semi-humid climate and plenty of light. It benefits from Sea of Green (SOG) and the training method may also boost yields. Sour Sunset reaches maturity in 49 to 63 days indoors and early October outside, producing around 12 ounces of bud per plant, which is a below-average yield. Sour Sunset is available as seeds. Clones may be available directly from cultivators growing this strain."
856,sour-sunset,"Created in 2006, Vader OG (also called Vader Kush or Darth Vader OG) is a prized cultivar of Oregon’s Ocean Grown Seeds. Sometimes called Darth Vader OG, a nod to Star Wars fans, this indica-rich strain is a cross between SVG OG and Larry OG. Like Darth Vader himself, users might beam over to the dark side with a deep spacey feeling accompanied by intense relaxation. THC levels as high as 30% ensure a powerful rush after a few short minutes of smoking. Vader OG might give the impression of blackness, but this strain’s buds are green and purple. Indoor flowering time can occur in as little as 8 weeks with 12 ounces per square meter of yield as a low estimate. Experienced growers who take meticulous care of their Vader OG can look forward to even higher yields."
857,vader-og,"Purple Glue is an indica-dominant strain from GG Strains. The top reported aromas are sweet and spicy pine, with earthy undertones. The top reported flavors are herb and earthy pine with a sweet flavor on the exhale. Purple Glue is a cross between Las Vegas Purple Kush and GG4, also known as Original Glue. Purple Glue can be grown indoors or outdoors, although with its short, bushy stature, it can be an ideal strain for indoor gardens with limited space. When grown outdoors, it should be harvested in mid-October. When grown indoors, it has a flowering period of 56 to 63 days. When properly cultivated, these plants may produce a medium to high yield. Purple Glue seeds are available online."
858,purple-glue,"Grimace is a strain of mysterious origins with unknown genetics, named after the McDonald's franchise character with the same purple coloring. The top reported aromas of the Grimace strain are grape, lime, and pungent spices. It is said to taste earthy and spiced with light notes of berries and florals. Grimace is a sativa-leaning cultivar that develops into tall plants with fluffy, cone-shaped buds. The strain is reportedly easy to cultivate, making it a perfect choice for novice growers. Indoor gardens may require height management to help Grimace plants fit in the space. Grimace flowers in 56 to 63 days indoors and by late October outdoors. The strain produces yields of approximately 16 ounces of bud per plant outdoors, which is a moderate yield. Grimace is available as seeds and clones."
859,grimace,"Killer Grape by TGA Genetics is a combination of Querkle and Killer Queen. The top reported aromas of the Killer Grape strain are sour grapes, apples, and spiced herbs. Its flavors are said to be fruity, grapes, earth, and spices. Killer Grape is a sativa-leaning hybrid that stretches up to tall, lanky heights. The strain requires regular pruning and, per the breeder, may produce lateral branching if topped regularly. Killer Grape produces higher yields with SOG and ScrOG methods, while exposure to cooler nighttime temperatures will tease out violet coloring. Killer Grape flowers in seven to nine weeks indoors and mid-October outdoors. Killer Grape is available as seeds and clones."
860,killer-grape,"White Haze is a White Label-created variation on the infamous classic Haze strain. The Amsterdam-based breeders developed phenotypes of the Haze strain until they found a version to which they could bequeath their name. White Haze's small, pebbly buds feature a sour funk of lemon and pine upon opening a jar. Its smoke is easily tolerated, layered with woodsy hints and citrus undertones. White Haze won first prize for Best Sativa in the 2002 Cannabis Cup. White Label's White Haze is a distinctly sativa plant, despite its smaller stature and relatively fast flowering times. White Haze prefers a semi-humid climate and may require regular pruning to fit limited grow rooms. The cultivar reaches full maturity in approximately 70 days when raised indoors and in mid-October when raised outside. Seeds of White Haze are commercially available."
